CLEAN_ANSWER,LANGUAGE,EMOJIS,final_sentiment,sarcasm,suggestion,suggestion_text,suggestion_type,emotion,tone,urgency_flag,impact_level,responsible_party,action_flag
Increase the number of sales person with English language.,en,,Negative,No,Yes,Increase the number of sales persons who speak English.,Operational Improvement,frustration,polite,No,High,sales,Yes
زياده عدد الكاونترات احيانا يكون واحد فقط خصوصا الجمعه بليل وناس ربشه وضغط احد المرات واحد من العملاء عصب وترك طلبيته وطلع من معرض لهذا السبب امامي رايت هذا الموقف لان الكاونتر واحد وصار تاخير كبير جدا احدهم كان معه مشكله ارجاع سلعه,ar,,Negative,No,Yes,"Increase the number of service counters, especially on Friday nights, to reduce wait times and prevent customers from leaving.",Operational Improvement,frustration,frustrated,Yes,High,management,Yes
Mobile,tr,,Neutral,No,No,None,None,confusion,informal,No,Low,None,No
لا يوجد,ar,,Neutral,No,No,None,None,satisfaction,polite,No,Low,None,No
S,de,,Neutral,No,No,None,None,confusion,informal,No,Low,None,No
اسوء توصيل واسوء خدمة عملاء في المركز واسوء نظام للفواتير,ar,,Negative,No,No,None,None,anger,angry,Yes,High,management,Yes
ان نقدر نسوي طلبية للاشياء الي ما موجوده حتى لو كان براند غير معروف و توفروه لنا كعملاء,ar,,Positive,No,Yes,"Allow customers to order unavailable items, including those from unknown brands, for company procurement.",Feature Request,satisfaction,polite,No,Medium,management,Yes
لاتملوا ولاتضغطوا  على العميل مايختاره لتحقيق ماآرب اخرى .,ar,,Negative,No,Yes,Customers should not be pressured or manipulated away from their choices for the company's benefit.,Operational Improvement,frustration,frustrated,Yes,High,management,Yes
شكر موجه للموظف ريان على فن التعامل وامتصاص الغضب وحل المشكله,ar,,Positive,No,No,None,None,gratitude,grateful,No,High,customer service,No
ليسا عندي اقتراح,ar,,Neutral,No,No,None,None,satisfaction,polite,No,Low,None,No
عند شراء بطاقه جود لازم تتاكد من وجود المنتج لان المسوق داخل المعرض قال لي المنتج متوفر وعند شرائي لبطاقة جود الذهبيه والدفع اتضح ان المنتج غير متوفر و لا لا أستطيع إرجاع بطاقه جود الذهبيه,ar,,Negative,No,Yes,"Ensure product availability is confirmed before selling Jawda cards, especially since the card cannot be returned.",Operational Improvement,"['disappointment', 'frustration']","['disappointed', 'frustrated']",Yes,High,sales,Yes
شكرا,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
Good,so,,Positive,No,No,None,None,satisfaction,informal,No,Low,None,No
تجاوب سريع,ur,,Positive,No,No,None,None,satisfaction,polite,No,Medium,customer service,No
Given offer comparison of price with other stores cheaper here,en,,Positive,No,No,None,None,satisfaction,informal,No,Low,sales,No
موظف الصيانه الي زارني اليوم خدمته ممتازه جدا واسلوبه جدا راقي في العمل,ar,,Positive,No,No,None,None,satisfaction,grateful,No,High,technical support,Yes
تقليل مدة التوصيل,ar,,Neutral,No,Yes,Reduce delivery time,Operational Improvement,disappointment,polite,No,Medium,delivery team,Yes
زيادة عرض منتجات الصناعية,ar,,Neutral,No,Yes,Increase display of industrial products,Feature Request,satisfaction,polite,No,Low,management,Yes
Good service and support,en,,Positive,No,No,None,None,satisfaction,grateful,No,Low,customer service,No
Everything is excellent,en,,Positive,No,No,None,None,satisfaction,enthusiastic,No,High,None,No
مدري صراحه,fa,,Neutral,No,No,None,None,confusion,informal,No,Low,None,No
العمل بمهنية عالية جدا تليق بسمعة اكسترا,ar,,Positive,No,No,None,None,satisfaction,grateful,No,High,None,No
اسواء خدمه شفتها لغايه الان والموظفين لا يعلمون شيء,ar,,Negative,No,No,None,None,anger,angry,Yes,High,customer service,Yes
كل شي جميل والضمان ابرائع وترتيب المواعيد للتوصيل او الصيانه وفوق كل هذا ميزة الضمان الممتد,ar,,Positive,No,No,None,None,satisfaction,enthusiastic,No,Low,customer service,No
I believe gifts cards are something we get after paying. Why don't we pay with gift card and credit card discount for the same order since you are collecting money on the gift card in advance?,en,,Negative,No,Yes,Allow using gift cards and credit card discounts simultaneously for the same order.,Feature Request,confusion,polite,No,Medium,billing,Yes
الله يعطيكم العافيه جميعا,ar,,Positive,No,No,None,None,gratitude,polite,No,Low,None,No
اهداء هدايه,fa,,Neutral,No,No,None,None,None,informal,No,Low,None,No
"If you can sign the contract with my company and delivery, so that I don't have to go to the store.",en,,Positive,No,Yes,User suggests signing a contract for company delivery to avoid the need for store visits.,Feature Request,disappointment,polite,No,Medium,management,Yes
It was a very good experience and I could make my choice fast based on the information provided by Ahmed,en,,Positive,No,No,None,None,"['satisfaction', 'gratitude']","['grateful', 'polite']",No,Low,customer service,No
To have more variatie in the colors an type of the product,en,,Neutral,No,Yes,More variety in product colors and types,Feature Request,disappointment,informal,No,Low,management,Yes
sales man explanation about product wow,en,,Positive,No,No,None,None,satisfaction,enthusiastic,No,Low,sales,No
Commitment,en,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
الاجهزه الاكترونيه,ar,,Neutral,No,No,None,None,None,informal,No,Low,None,No
مفروض موظف متواجد في موقعه,ar,,,,,,,,,,,,
خدمة راقية,ar,,Positive,No,No,None,None,joy,grateful,No,Low,None,No
"I  brought  earphone,  it's verry good with worth it price",en,,Positive,No,No,None,None,satisfaction,informal,No,Low,None,No
السلام عليكم  مع احترامي لشركة اكسترا المحترمين عندي صيانة لغسالة ومكيف انا طالب الصيانة من حوالي 15 يوم واكثر ولتاريخ اليوم لم يصلني احد ورحت للفرع للمراجعة بقلك الموظف غير موجود مع العلم اكثر الادوات المنزلية عندي من اكسترا وشاكر لكم,ar,,Negative,No,Yes,"Long delay (over 15 days) in scheduled maintenance for washing machine and AC, and difficulty getting support at the branch.",Complaint,"['frustration', 'disappointment']","['polite', 'frustrated', 'disappointed']",Yes,High,technical support,Yes
More promotions and offers,en,,Neutral,No,Yes,User requests more promotions and offers.,Feature Request,disappointment,informal,No,Low,sales,Yes
لم يتم توصيل المنتج علما بانه تم الدفع,ar,,Negative,No,Yes,Deliver the paid product,Complaint,frustration,frustrated,Yes,High,delivery team,Yes
الاستمرار,ar,,Neutral,No,No,None,None,None,informal,No,Low,None,No
Special offer and big discount.,en,,Positive,No,No,None,None,satisfaction,enthusiastic,No,Low,None,No
إمكانيات الموظفين والموظفات العاملين في فرع مكة 🕋 اكستراء بالعزيزية على مستوى عالي جدا مما يجعل الزوار في اطلاع مميز على جميع المنتجات وأسعارها وطرق شراءئها بكل يسر وسهولة,ar,🕋,Positive,No,No,None,None,satisfaction,grateful,No,Low,customer service,No
The washing machine delivered is defective. It does nit work,en,,,,,,,,,,,,
More Offers For More Sale,en,,Positive,No,Yes,Customer suggests more offers to increase sales.,Operational Improvement,satisfaction,informal,No,High,sales,Yes
"Staff helping nature for customers, there are staffs at extra but no one want to attend them…they approach looking nationality wise🤔",en,🤔,Negative,Yes,Yes,"Staff should attend to all customers equally, without discrimination based on nationality.",Operational Improvement,frustration,frustrated,Yes,High,customer service,Yes
لا شيء,ar,,Neutral,No,No,None,None,satisfaction,informal,No,Low,None,No
التعامل ممتاز,ar,,Positive,No,No,None,None,satisfaction,polite,No,High,customer service,No
العروض,ar,,Neutral,No,No,None,None,confusion,informal,No,Low,None,No
اسعار غير واقعية واجهزة قديمة وصناعة رديئة لاعاد ترسلون ازعجتونا,ar,,Negative,No,Yes,User requests to stop receiving communications due to being annoyed.,Operational Improvement,anger,angry,Yes,High,management,Yes
يعطيكم العافية,ar,,Positive,No,No,None,None,gratitude,polite,No,Low,None,No
شكرا,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
الموظف ذو اخلاق رفيعة,ar,,Positive,No,No,None,None,satisfaction,polite,No,Low,customer service,No
ا,ar,,Neutral,No,No,None,None,confusion,informal,No,Low,None,No
التسريع بتوفير فقط الغيار فقط,ar,,Negative,No,Yes,Expedite providing spare parts.,Operational Improvement,frustration,urgent,Yes,High,delivery team,Yes
Nice customer service,ro,,Positive,No,No,None,None,satisfaction,polite,No,Low,customer service,No
زر وستجد ما يسرك,ar,,Positive,No,No,None,None,joy,enthusiastic,No,Low,None,No
🌺,emoji,🌺,Positive,No,No,None,None,joy,informal,No,Low,None,No
"Thank EXTRA , I thank Amir Al-Harbi for his kind assistance and cooperation.",en,,Positive,No,No,None,None,gratitude,grateful,No,Low,customer service,No
وقت الانتظار طويل. عملية تسليم الجهاز طويلة و السبب طباعة كثير من المعلومات . الاسخاص رائعين.,ar,,Negative,No,Yes,Reduce waiting time and streamline device delivery process by minimizing information printing.,Operational Improvement,frustration,frustrated,Yes,High,delivery team,Yes
لم يتم كل المشكلة,ar,,Negative,No,No,None,None,frustration,frustrated,Yes,High,None,Yes
الإهتمام بنظافة المنتج من الخارج,ar,,Negative,No,Yes,Customer suggests improving the cleanliness of the product's exterior.,Operational Improvement,disappointment,polite,No,Low,delivery team,Yes
ماعنده التزام بالوقت...,ar,,Negative,No,No,None,None,frustration,frustrated,Yes,High,delivery team,Yes
تعامل الموظف المبيعات وتوجيهه في المنتج,ar,,Neutral,No,No,None,None,satisfaction,professional,No,Low,sales,No
لا شيء,ar,,Neutral,No,No,None,None,satisfaction,informal,No,Low,None,No
يحتاج دايمن تعملو عروض,ar,,Neutral,No,Yes,User suggests consistently providing offers and promotions.,Feature Request,disappointment,informal,No,Low,sales,Yes
احد العاملين اخبرني بعدم توفر لون معين من الجوال عند سؤال رجل اخر قال لي اللون المطلوب موجود,ar,,Negative,No,No,None,None,confusion,informal,No,Medium,customer service,Yes
تفعيل الضمانات,ar,,Neutral,No,Yes,User is requesting activation of guarantees/warranties.,Complaint,disappointment,polite,Yes,High,customer service,Yes
Because of near by us,en,,Neutral,No,No,None,None,confusion,informal,No,Low,None,No
الصيانه في المنزل دون نقل المنتج الى مقر الصيانه لان النقل يعرضه للاصابات,ar,,Neutral,No,Yes,Suggests providing maintenance services at the customer's home to prevent product damage during transport.,Operational Improvement,worry,polite,No,High,technical support,Yes
More offer more purchase,en,,Positive,No,Yes,Increase the number of offers to drive more purchases.,Operational Improvement,satisfaction,informal,No,Low,sales,Yes
ركبت لزقة حماية وبعد اسبوع بدت تنفك,ar,,Negative,No,No,None,None,disappointment,disappointed,Yes,High,None,Yes
التواصل من منذوب التوصيل في حالة عدم الرد,ar,,Neutral,No,Yes,Improve communication from delivery representative when customer doesn't answer.,Operational Improvement,confusion,polite,No,Medium,delivery team,Yes
ينبغي ان يكون وصف السلعة واضحا فيما إذا كانت تحتاج إلى تركيب أم لا.,ar,,Neutral,No,Yes,Product description should clearly state if installation is required.,Operational Improvement,confusion,polite,No,Low,sales,Yes
Yes,tr,,Positive,No,No,None,None,satisfaction,informal,No,Low,None,No
الاهتمام بتركيب المكيفات حيث واجهت مشكلة مع الفنيين ويوجد لدي مكيف واحد من ضمن ستة لم تستكمل عملية التركيب حتى وقد مضى عليه سنة تقريباً,ar,,Negative,No,Yes,"Improve attention to AC installation, addressing issues with technicians and one unit remaining incomplete for nearly a year.",Operational Improvement,frustration,frustrated,Yes,High,delivery team,Yes
طلبت مكنسه ووصلت مكسورة,ar,,Negative,No,No,None,None,disappointment,disappointed,Yes,High,delivery team,Yes
اقترح ان يكون التوصيل خلال مدة أقل من المعتاد معكم,ar,,Neutral,No,Yes,Reduce delivery time,Operational Improvement,disappointment,polite,No,Medium,delivery team,Yes
More experience people,ro,,Negative,No,Yes,User suggests employing more experienced staff.,Operational Improvement,disappointment,disappointed,No,High,management,Yes
Taking tooo much time to clear the issue,en,,Negative,No,No,None,None,frustration,frustrated,Yes,High,None,Yes
Nice service,ro,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
Better interface,de,,Neutral,No,Yes,Improvement of the user interface,Feature Request,disappointment,polite,No,Medium,technical support,Yes
The welcoming of your staff. The attation towreds the customer. It's an excellent customer service,en,,Positive,No,No,None,None,"['gratitude', 'satisfaction']","['grateful', 'polite']",No,Low,customer service,No
كل شي ممتاز,ar,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
المندوب لم يرسل لي قبل وصوله بفترة كافية إنما اتصل فجأة واخبرني انه عند الباب ؟؟؟؟,ar,,Negative,No,No,None,None,frustration,frustrated,Yes,High,delivery team,Yes
"Thank  you for Shofi's help from the Seef branch. He has been very helpful, resilient and always available.",en,,Positive,No,No,None,None,gratitude,grateful,No,Low,customer service,Yes
طريقة الاستقبال عند الذهاب إلى اكسترا قمة في التعامل,ar,,Positive,No,No,None,None,satisfaction,enthusiastic,No,High,customer service,Yes
Good service,en,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
Me Mahmoud,en,,Neutral,No,No,None,None,satisfaction,informal,No,Low,None,No
More discount and offers,en,,Neutral,No,Yes,Request for more discounts and offers.,Feature Request,disappointment,informal,No,Low,sales,Yes
To take service requests seriously and deliver in time. The laptop was handed over 2 weeks ago and they just informed today that it will take another 2 weeks to order the part needed. Means 4 weeks to replace a single part! Worldwide delivery is now available at short term and duration!,en,,Negative,Yes,Yes,Improve service request handling and delivery times for repairs.,Operational Improvement,frustration,frustrated,Yes,High,technical support,Yes
give discount,it,,Neutral,No,Yes,Give discount,Other,worry,informal,No,Low,sales,Yes
اشتريت جوال هونر ويوجد خاصيه ان البطاريه تجلس ٣ايام وهيه لا تجلس ليوم واحد 😞,ar,😞,Negative,No,No,None,None,disappointment,disappointed,Yes,High,technical support,Yes
اتمنى ان يكون فيه شفافيه اكثر مع الزبون بنسبه للهدايا المقدمه مع الجهاز,ar,,Neutral,No,Yes,More transparency regarding gifts provided with the device.,Operational Improvement,disappointment,polite,No,Low,management,Yes
Bad communication in counter exist,en,,Negative,No,No,None,None,frustration,frustrated,No,Medium,customer service,Yes
الشفافية ذهبت لشراء جوال ومعه هدايا بعد الذهاب ل3 فروع لان الجوال غير متوفر في كل الفروع اخبرني الموظف انه يجب ان اختار بين الهدايا وخصم فيزا ساب لايمكن الحصول على ال2 مع انه لايوجد بند في شروط خصم الفيزا ينص على هذا,ar,,Negative,No,Yes,"Customer reports being forced to choose between a promotional gift and a discount, despite no conflicting terms stated in the discount policy. Suggests clarification and consistency in promotional offer terms and their application.",Operational Improvement,disappointment,disappointed,Yes,High,customer service,Yes
Better service for delivery,da,,Negative,No,Yes,Improve delivery service,Operational Improvement,disappointment,informal,No,Low,delivery team,Yes
عدم الكذب,ar,,Negative,No,Yes,Customer requests honesty/not to be lied to.,Complaint,anger,angry,Yes,High,None,Yes
Make it easier to edit or exchange the invoices,en,,Negative,No,Yes,Easier invoice editing/exchange,Operational Improvement,frustration,informal,No,High,billing,Yes
التحقق الجيد من شكوى العميل,ar,,Positive,No,No,None,None,satisfaction,polite,No,Low,customer service,No
Enlargement and reception centers for devices must be located within all branches... and not exceed 5 days.,en,,Neutral,No,Yes,Suggests device service centers should be in all branches and service time should not exceed 5 days.,Operational Improvement,None,professional,Yes,Medium,management,Yes
During installation the workers have not put the dampening pads under the washing machine,en,,Negative,No,Yes,Put the dampening pads under the washing machine,Complaint,disappointment,disappointed,Yes,High,delivery team,Yes
العروض لعدم وجود قوه شرائيه,ar,,Negative,No,No,None,None,disappointment,informal,No,Low,None,No
التواصل عن طريق الاتصال مباشر بالعميل خاصة فى حالة طلب صيانة,ar,,,,,,,,,,,,
"كمبروسر تلاجتي خرب وتم تغيير الثلاجة علي الضمان ، وتم اخذ ٦٥٠ ريال قبلها لتغيير قطعة في الثلاجة وبعد اكتشاف ان الكمبروسر هو الخربان وعلي الضمان ، مع ذلك لم استرد اموالي المدفوعة",ar,,Negative,No,Yes,User requests a refund of 650 riyals for an unnecessary refrigerator repair that was later covered by warranty.,Complaint,frustration,frustrated,Yes,High,billing,Yes
Customer service because they are friendly,en,,Positive,No,No,None,None,satisfaction,polite,No,Low,customer service,No
Between break time staff on duty after Zohar shift more vigilant and cooperative,en,,Negative,No,Yes,Staff to be more vigilant and cooperative during break times after Zohar shift.,Operational Improvement,disappointment,polite,No,Medium,management,Yes
Better English for staff,en,,,,,,,,,,,,
لاشئ,ar,,,,,,,,,,,,
شكرا لكم,ar,,,,,,,,,,,,
مفيش حل المشكله نهائياً,ar,,,,,,,,,,,,
عدم التجاوب السريع مما قد يدخل المستفيد في دوامة اعادة تقديم الطلب وذلك بسبب التاخير الذي سوف يفعل الرد الالي مره اخرى. فيصعب الامر على العميل لانه يجب عليه تجاوز الالي اولا ثم اعادة صياغة الطلب للموظف مره اخرى.,ar,,Negative,No,Yes,Improve response time and optimize automated reply system to prevent re-submission loop.,Operational Improvement,frustration,frustrated,Yes,High,customer service,Yes
سرعة التفاعل,ar,,Positive,No,No,None,None,satisfaction,polite,No,Low,customer service,No
شكرا جزيلا,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
الزياره للعميل في أوقات النوم وآخر الليل بعد منتصفه هل هي مناسبه لإتخاذ قرار الاستبدال كل هذا تعطي شكوك بعدم وجود مصداقيه من قبلكم بالوفاء ولن اتعامل معكم مرة أخرى,ar,,Negative,No,Yes,"Customer complains about inappropriate visit times (during sleep, late at night) for exchange decisions, questioning credibility.",Complaint,disappointment,disappointed,Yes,High,delivery team,Yes
فريق عمل ممتاز,ar,,,,,,,,,,,,
The staff must be focus on customer  dealing with good,en,,,,,,,,,,,,
شكراااااا اكسترا,ar,,Positive,No,No,None,None,gratitude,enthusiastic,No,Low,None,No
شكرا,ar,,,,,,,,,,,,
‏أشكركم,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
الحصول على هدية مع المنتج المطلوب هذا يشجع عملية الشارع انا اشتريت تليفون جاي معه كابل الشحن بدون الراس اذا كان معه مثلا راس الشاحن او الحراب او سكرين للشاشه هذا يحمس للشتاء,ar,,Neutral,No,Yes,"Include useful accessories (e.g., charging head, headphones, screen protector) as gifts with purchases to encourage sales.",Feature Request,disappointment,polite,No,Low,sales,Yes
"لاحظت كثرة موظفين المبيعات، اعتقد أنهم اكثر من الطبيعي، لكن الخدمة ممتازة.",ar,,Positive,No,Yes,Observation regarding an excessive number of sales employees.,Operational Improvement,satisfaction,polite,No,Low,sales,Yes
وأيضًا خدمة الصيانه السرعه والإلتزام بالوقت وسرعة العمل,ar,,Positive,No,No,None,None,satisfaction,grateful,No,Medium,technical support,No
تلقيت معاملة جدا سيئة من احد موظفي خدمة العملاء,ar,,Negative,No,No,None,None,anger,angry,Yes,High,customer service,Yes
Price not different in sale,it,,Negative,No,No,None,None,disappointment,disappointed,No,Medium,sales,Yes
تزويدنا بالعروض الحصريه,ar,,Positive,No,Yes,User wants to receive exclusive offers.,Feature Request,satisfaction,polite,No,Low,sales,Yes
توفر جميع منتجات الموقع بالمعرض,ar,,Positive,No,Yes,Availability of all website products at the showroom/exhibition.,Operational Improvement,satisfaction,polite,No,Medium,management,Yes
خدمه ممتازه,fa,,Positive,No,No,None,None,satisfaction,enthusiastic,No,Low,None,No
Never pick up the phone or  after-sales channels+ i hade extremly bad experince with A/C  spilt installation,en,,Negative,No,No,None,None,"['frustration', 'disappointment']","['frustrated', 'disappointed']",Yes,High,customer service,Yes
Free delivery,da,,Positive,No,No,None,None,satisfaction,informal,No,Low,None,No
ممتاز,ar,,Positive,No,No,None,None,satisfaction,enthusiastic,No,Low,None,No
"Time the costumer didnt have time to answer the calls My recommendation for added Full location from the biggining of purchasing process, some",en,,Neutral,No,Yes,Add full location option at the beginning of the purchasing process.,Operational Improvement,frustration,polite,No,Medium,technical support,Yes
Change some rules like I can't change my items for any brunch they told me it must in same brunch,en,,Negative,No,Yes,Customer wants to change the rule that requires item exchanges to be done at the same branch where the purchase was made.,Operational Improvement,frustration,frustrated,No,Medium,management,Yes
الموظفين رائعون,ar,,Positive,No,No,None,None,satisfaction,polite,No,Low,customer service,No
طاقم التركيب مخادع,ar,,Negative,No,No,None,None,anger,angry,Yes,High,delivery team,Yes
لاشي كل شي جميل,ar,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
زياده الافراد ف الفرع,ar,,Neutral,No,Yes,Increase staff in the branch,Operational Improvement,frustration,polite,No,High,management,Yes
تقديم الشكر للطاقم النسائي اكثر من الشباب,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
Mobile number 0591258844 Order number WEB915056743 The product already delivered and accessories missing so I returned to store  It's received by extra And I informed I need the product with all accessories and I am Waiting  When you are sending  Or give me tracking number if u send me Waiting for long time,en,,Negative,No,Yes,User returned a product due to missing accessories and is waiting for the replacement or a tracking number.,Complaint,frustration,frustrated,Yes,High,customer service,Yes
Goood,so,,Positive,No,No,None,None,satisfaction,enthusiastic,No,Low,None,No
The mobile sold to me wasn't even in mega sale and the staff didn't even mention it. The cashier was extremely crowded with people fighting with each other in queue so I had to buy it.,en,,Negative,No,No,None,None,frustration,frustrated,Yes,High,"['sales', 'management']",Yes
أنا أحب اكسترا جدااااااا.  لكن للأسف العمال اللي جو يركبون المكيف غير متعاونين وغير احترافيين ما رتبوا بعد ما خلصوا ولا ركبوا ديكور المكيف ولا ثبتوا الريموت,ar,,Negative,No,Yes,"Workers were uncooperative and unprofessional, didn't clean up after AC installation, didn't install AC decor, and didn't fix the remote.",Complaint,"['disappointment', 'frustration']","['disappointed', 'frustrated']",Yes,High,delivery team,Yes
Just answer customer requests,en,,Negative,No,Yes,Customers' requests should be answered promptly and effectively.,Operational Improvement,frustration,frustrated,Yes,High,customer service,Yes
Cancel the annoying and pushy salesmen on the sections,en,,Negative,No,Yes,Stop annoying and pushy salesmen activities.,Operational Improvement,frustration,frustrated,Yes,High,sales,Yes
Than you 😊,en,😊,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
كل شي تمام من كل النواحي,ar,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
ماعندي اي اقتراحات,fa,,Neutral,No,No,None,None,satisfaction,polite,No,Low,None,No
نشكر الموظفين في اكسترا جميعاً على حُسن الاستقبال وخدمه العميل على افضل وجه.  شكرا لكم جميعاً,ar,,Positive,No,No,None,None,gratitude,grateful,No,Medium,customer service,No
The sales team is very confident and co operative.,en,,Positive,No,No,None,None,satisfaction,polite,No,Low,sales,No
Not to sub contract with Egyptians labor  ever🤢,en,🤢,Negative,No,Yes,Avoid subcontracting with Egyptian labor.,Operational Improvement,resentment,angry,Yes,High,management,Yes
Reaching destination,en,,Positive,No,No,None,None,satisfaction,informal,No,Low,None,No
Good,so,,Positive,No,No,None,None,satisfaction,informal,No,Low,None,No
حسنو موظفينكم ما يصير اشتري قلم جديد وبالنهاية ما يشتغل واوديه الصيانة وترجعونه لي نفس ما هو وتكذبون تقولون بدلناه لك,ar,,Negative,No,Yes,"User suggests improving staff honesty and performance, especially regarding product repairs and truthful communication.",Operational Improvement,"['anger', 'frustration']","['angry', 'frustrated', 'disappointed']",Yes,High,customer service,Yes
موظف الصيانة ذو الخلق العالي عبد الجهني أعطيه تقيم 10 من 10,ar,,Positive,No,No,None,None,satisfaction,grateful,No,Low,delivery team,No
العمال مرا طيبين ومتفاهمين يعطيهم الف عافيه,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,delivery team,No
الاهتمام أكثر بخدمات ما بعد البيع,ar,,Negative,No,Yes,Improve attention to after-sales services,Operational Improvement,disappointment,polite,No,Medium,customer service,Yes
مره متعاونين,fa,,Positive,No,No,None,None,satisfaction,polite,No,Low,customer service,No
لاشيء,ar,,Neutral,No,No,None,None,None,informal,No,Low,None,No
كل شيء تمام,ar,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
تجنب الانتظار لمده 24 ساعه قبل اتخاذ الاجراءات المطلوبه,ar,,Negative,No,Yes,Avoid 24-hour waiting period for actions,Operational Improvement,frustration,frustrated,Yes,High,None,Yes
More cooperative and friendly behaviour,en,,Positive,No,Yes,User requests more cooperative and friendly behavior from staff.,Operational Improvement,satisfaction,polite,No,Medium,customer service,Yes
موظفي التسويق ينشغلون عن الزبائن بحوارات جانبيه ويتركون الزبون,ar,,Negative,No,Yes,Marketing staff should prioritize attending to customers over engaging in side conversations.,Operational Improvement,frustration,frustrated,Yes,High,management,Yes
The prices are exaggerated.,en,,Negative,No,No,None,None,disappointment,disappointed,Yes,High,management,Yes
Product is believable with attractive packing,en,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
"تم بيعي منتج مختلف عن الذي استلمته، وعند محاولة ارجاعه تم رفض بسبب استخدامي له مرة واحدة فقط",ar,,Negative,No,No,None,None,frustration,frustrated,Yes,High,customer service,Yes
reliable warranty,en,,Positive,No,No,None,None,satisfaction,informal,No,High,None,No
الحماية الحرارية سيئة جدا الأفضل وقفوها نوعية سيئة وخامات سيئة,ar,,Negative,No,Yes,User suggests discontinuing the thermal protection product/feature due to its very bad quality and poor materials.,Complaint,frustration,frustrated,Yes,High,management,Yes
Customer service,en,,Neutral,No,No,None,None,satisfaction,polite,No,Low,customer service,No
Customer service is in good accomodating employee,en,,Positive,No,No,None,None,satisfaction,polite,No,Low,customer service,No
frebies,de,,Positive,No,No,None,None,joy,informal,No,Low,None,No
Thanks,en,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
اوك,ar,,Neutral,No,No,None,None,satisfaction,informal,No,Low,None,No
لا يوجد,ar,,Neutral,No,No,None,None,satisfaction,polite,No,Low,None,No
Happy,fi,,Positive,No,No,None,None,joy,enthusiastic,No,Low,None,No
Development and education of air conditioning installation technicians,en,,Neutral,No,Yes,Improve the development and education of air conditioning installation technicians.,Operational Improvement,disappointment,professional,No,High,management,Yes
Language barrier,de,,Negative,No,No,None,None,confusion,informal,No,High,customer service,Yes
good,so,,Positive,No,No,None,None,satisfaction,informal,No,Low,None,No
شكرا لكم,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
The first store I visited near king Abdulaziz  road staff was so rude and racist I believe they were not attending to my queries even though requested many times also they try to avoid customer from other languages. It demoralised customer experience. Their was no crowd in that store and they were so annoyed they Toby even know their system and they were not helping to share details where that stock available because of them I changed my mind to buy from extra then i thought give it chance and went to girnatha store and those guys were do amazing and helped me with all queries in fact it was so crowded but still they went on and answered all my queries patiently and the guy who sold phone he was new to store but so calm guy and guided me through all product related queries and where ever he stucked he requested store manager to help him and explaining and solving my queries. 2 different experience in 2 different store one was bitter and painful and 2nd was super better and satisfying,en,,Positive,No,No,None,None,"['frustration', 'disappointment', 'satisfaction', 'gratitude']","['frustrated', 'disappointed', 'grateful']",No,High,customer service,Yes
للاسف الصيانه ليس عندهم ليونه وفيه مشاكل كثيره منهم وعندي مشكله معهم بخصوص لاب توب من اكثر من شهر ولم تحل,ar,,Negative,No,No,None,None,frustration,frustrated,Yes,High,technical support,Yes
كل شئ ممتاز,ar,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
لايوجد,ar,,Neutral,No,No,None,None,satisfaction,informal,No,Low,None,No
لايوجد,ar,,Neutral,No,No,None,None,satisfaction,informal,No,Low,None,No
لا,ar,,Negative,No,No,None,None,frustration,frustrated,Yes,High,None,Yes
تواجد خيارات للتسوق,ar,,Positive,No,Yes,Customer suggests having more shopping options.,Feature Request,satisfaction,polite,No,Low,management,Yes
مافيه,ar,,Negative,No,No,None,None,disappointment,disappointed,No,Medium,None,Yes
لم تحل المشكلة الا بعد رفع شكوى لوزارة التجارة لا احترام للمواعيد و لا اهتمام منرفبل موظفين الشكاوى و لازاي التزام من فريق الصيانه... منتهى سوء الخدمه,ar,,Negative,No,No,None,None,"['frustration', 'anger']","['frustrated', 'angry']",Yes,High,"['customer service', 'technical support']",Yes
خلكم كذا ولا تتغيرون لاني اشوفكم الافضل في السوق لا خدمة ولا صيانه,ar,,Positive,No,No,None,None,satisfaction,enthusiastic,No,Low,None,No
Keep to your word when advising customers when to collect their repaired devices,en,,Negative,No,Yes,Advise customers accurately regarding the collection time of their repaired devices.,Operational Improvement,frustration,frustrated,Yes,High,customer service,Yes
شي رائع وان شاءالله إلى الامام دوما,ar,,Positive,No,No,None,None,joy,enthusiastic,No,Low,None,No
