CLEAN_ANSWER,LANGUAGE,EMOJIS,SENTIMENT
"توصيل المنتج كان جيد ، ولكن يجب أن يأتي عامل آخر ليقوم بتركيب الجهاز المنظم لغاز الطبخ ولكنه تأخر كثيرا وقدمت شكوى ولم يتواصل موظف التركيب إلى الآن",ar,,Negative
توصيل الطلب في وقت واحد افضل من توصيله على فترات,ar,,Positive
مشاركه التفاصيل الخاصه بالتركيب بشكل أوضح من البائع حيث لم يتم توضح بعض بنود الضمان قبل الشراء,ar,,Positive
ل,ar,,Positive
لا يوجد,ar,,Neutral
شكرا لكم,ar,,Positive
"عدم تجاوب خدمه توصيل المنزلي حيث عند أعطاه الرقم السري لم يتجاوب معي بتاتا للعنوان المرسل، للأسف خدمتكم سيئة وغير مصداقية",ar,,Negative
لا يوجد لان الاشخاص اللي وصلو كانو قمه في الاحترام والاخلاق والعمل المتقن ولو كان لي صلاحية في عملهم لا كفائتهم على احترافيتهم,ar,,Negative
شكرا لكم,ar,,Positive
يجب توفير فنيين تركيب ذو خبرا عالية لعدم اعتماد العميل على عمالة خارجية عند التركيب,ar,,Neutral
دعم فني سيء جداً,ar,,Neutral
القطعه اللي تحت ف الشاشه نازله شويه ليه,ar,,Negative
لله يوفقكم,ar,,Positive
شكرا لكم,ar,,Positive
To give the exact time for delivery,en,,Positive
Customer service (call center) is extremely bad 👎. I put order for laptop and delivery in Riyadh but by mistake put Hafuf. I tried calling Customer service for 3 days but no one picked up my call. This service needs attention.,en,👎,Negative
Keep working well,af,,Positive
خدمه التقسيط فترة اطول من ٤ دفعات للمقيمين,ar,,Negative
Better communication,it,,Positive
طلبت تحديث تمارا بعد الغاء الطلب وتم الرد بأنه يتحدث خلال ٢٤ إلى ٤٨ ساعه عمل وتجاوزنا ٥ ايام ولم يتم التحديث حتى الان,ar,,Negative
اشكركم على المصداقية وجودة التوصيل,ar,,Positive
شكران لكم,ar,,Positive
يكون في اليوم التاني,ar,,Negative
خدمة ممتازه,ar,,Positive
الشكر لكم جميعا على رقي تعاملكم,ar,,Positive
خدمة ممتازة وجودة بالعمل وفرق فني ممتاز,ar,,Positive
اعطاء العملاء حقهم ابدال البضائع المتضرره عند توصيل !!!!!!! حسبي الله عليكم,ar,,Positive
I hope that Extra management will cancel the delivery fees as it should be free like all other establishments.,en,,Neutral
"ان يتم التاكد من ان الجهاز قد تم اصلاحه فعلا من خلال مشرف الصيانة قبل اعادته لنا الى المنزل ، مرتين يتم اخذ الغسالة واعادتها بدون حل المشكلة ، لا اعرف لماذا يتم اخذها واعادتها بدون حل ،فقط ليتم اقفال الطلب",ar,,Negative
للامام دائما,ar,,Positive
معرفة الزبون بنوع الاكسسوارات هل هي زجاج ام بلاستيك,ar,,Positive
اجهزه منتجات البشره والشعرمتعدده الاستعمالات  لان العنايه اساس الحياه🙂,ar,🙂,Positive
مافي شي الصراحة تعاملهم جدا جميل وراقي وسريعين ماشاءالله عليهم افضل تعامل الصراحة,ar,,Positive
شكرا لجميع موظفين اكسترا الصيانه صراحه جوده ودقه بالمواعيد والاحترام 👍,ar,👍,Positive
فريق الصيانه محترف جدا واسلوب فني وراقي,ar,,Positive
صيانه دوريه بدون طلب العميل تكون افضل والحفاظ على منتج سليم وشكرا,ar,,Positive
التعامل من قبل الموظفين,ar,,Positive
لا يوجد عدا جودة البضائع والأعطال الدائمة,ar,,Negative
أنا دافع تأمين شامل ع الغساله و رفضو يصلحونها لي إلا مقابل مبلغ مالي و المواعيد غير ملتزمين فيها وانصح بعد التعامل مع إكسترا موظفين المعرض نجي عندهم عشان قسم صيانه يقول مالي شغل أنا,ar,,Negative
فوق الممتاز,ar,,Positive
المصداقيه في التعامل,ar,,Positive
Don't push your offers that desperately. Bad shopping experience.,en,,Negative
Have more products available on shelves,en,,Negative
Please send invoice by WhatsApp,en,,Negative
"خدمات مابيع البيع سيئه جدا، اشتريت جهازين LG  اسبليت قبل أسبوعين ولمن جات مواعيد التركيب جيبوتي اسواء عمال للتركيب وفي",ar,,Negative
I bought items from different section and first met Iftikhar at TV section who was super helpful in explaining the differences between TV brands. Next I met Mahmoud who was expert in his work and managed to convince me to buy the good brand. At the end I met Salam khan (I still recall him as we had a good chat about the actor Salman khan) he as well super informative and super helpful in our decision to purchase the items. You have very good staff and they are the assets who make the customers either satisfied or not.,en,,Positive
للأسف لا يفون بالوعود وليسوا دقيقين بالمواعيد,ar,,Negative
Cheep and good,nl,,Positive
شكرا جزيلا الاستاذ ياسر,ar,,Positive
"Large items like water dispensers and other things need to assisted at the counter and to the car, it was v bad I had to pick that up myself and then do everything with my family, However other workers were standing idle behind.",en,,Neutral
"خصومات اكثر ،",ar,,Negative
Good quality good services,en,,Positive
الشراء من الشركة لأن لأن خدماتها العملاء ممتازة وتجاوب مواظبفيها بكل معاملة,ar,,Positive
الرجل اللي استقبلني في الاسترجاع كان فظ جدا,ar,,Positive
لايوجد ولكن اشكر الموظفة نوال الشمراني على تعاملها,ar,,Negative
شكرا,ar,,Positive
"اخر تجربة كانت ممتازة ، مشكلتى كانت فى اول مره للاسف اخدوا الجهاز و رجعوه بدون اجراء حل المشكله",ar,,Negative
حسن التعامل,ar,,Positive
الف شكر لمهندس اسامة دراج على التواصل السريع وحل المشكلة,ar,,Positive
"Good sales man ,very cooperative, thank you",en,,Positive
Thank you for your after sale services this is what peace of mind we look for as customers.,en,,Positive
تقدمت بشكوى و ما توصلت لحل,ar,,Negative
Bring more variety of table top gas stoves,en,,Positive
Instructions or details of products on every section visible hanging over from the celling,en,,Positive
Thanks,en,,Positive
العمل المستمر لتطوير التطبيق حتى بكون وجة مثالية بين التطبيقات,ar,,Positive
لا يوجود شي يستحق الذكر … التوصيل ممتازا وفوق الممتاز,ar,,Positive
اشكر الأخ باسم الثبيتي على حسن خلقه وتعامله الراقي فرع ينبع,ar,,Positive
ان يكون هناك تنسيق مابين مندوب التوصيل ومعلومات الطلب - الشي الاخر اذا كان هناك رسوم اضافيه سيتم دفعها لسائق التوصيل ان تكون مدرجه في الفاتوره,ar,,Negative
تحديد الوقت المحتمل للتوصيل.. صباح او مساء,ar,,Positive
سرعه الاستجابه فيما يتعلق بالصيانه ليست جيده لديكم . عدم المتابعه من طرفكم ؟ عدم توافر قطع الغيار !!!!!,ar,,Negative
من إكسترا لحسن المنتج والاداء,ar,,Positive
كل شيء تمام,ar,,Positive
لايوجد,ar,,Neutral
مضى اسبوعين ولم استلم كامل طلبي بعد !!!,ar,,Negative
توصيل على الوقت,ar,,Positive
فى نفس اليوم بعد الطلب مباشرا مع التركيب وهدايا من نفس الشركة.,ar,,Negative
شكراً لكم,ar,,Positive
موظف الصيانه محترم ومتعاون مع الزبون,ar,,Positive
شكرا,ar,,Positive
المساعدة في تشغيل المنتج بالمنزل خاصة اجهزة الكمبيوتر المكتبى الجديدة,ar,,Positive
سرعة الاستجابة,ar,,Positive
اعاده تقييم الموظفين ومستوى الخدمه,ar,,Positive
التعامل جيد والاجهزه ممتاز,ar,,Positive
ا,ar,,Positive
الجوده والسعر,ar,,Positive
اكثررمن رائع 🫡🫡,ar,🫡🫡,Positive
لا يوجد اقتراحات .. موظفين الصيانة اكثر من الرئع ومحترفين جزيل الشكر لهم المهندس احمد و تامر,ar,,Negative
وضع ماء او قهوة او شاهي في الاستقبال,ar,,Negative
لايوجد اقتراح,ar,,Negative
لايوجد اقتراح,ar,,Negative
لا يوجد لدي اقتراحات,ar,,Negative
الفني خلوق. ماقصر الله يعطيه العافيه متعاون  وسريع بالخدمه,ar,,Positive
لا,ar,,Neutral
Excellent,ca,,Positive
موظف التوصيل ممتاز,ar,,Positive
التوصيل كان على الوقت والشخص اسمه م مستنصر M mustansar,ar,,Negative
السعر والجوده,ar,,Positive
خدمة ممتازة,ar,,Positive
nothing all are perfect,en,,Positive
Junaid,sw,,Positive
The delivery is on time and stuff are very good,en,,Positive
All the best,en,,Positive
More variety,no,,Positive
Good staffs,cy,,Positive
"Better reduction in your prices,",en,,Positive
قسم الصيانة فيها تأخير في الموعد,ar,,Positive
افضل الموظفين شعيب الزدجالي + مجدي,ar,,Positive
تأخير غير مبرر لقطعة الغيار المطلوبه ولا أجد اي حل من موظفي الخدمه مجرد إجابات معلبة فحتى هذه اللحظة لا أعلم متى سيصل الريموت,ar,,Negative
الخدمه ممتازه,ar,,Positive
ان يقوم المندوب با الاتصال وليس ارسال رساله,ar,,Negative
لاشي,ar,,Negative
اشكر العاملين على حسن تعاونهم وشكر خاص الاخ احمد من فرع الجبيل الصناعيه والاخوان محمد الحناوي وشادي في قسم الغسالات والاخ عبد المجيد من قسم التلفزيونات,ar,,Positive
تم طلب منتج وعند الوصول للمعرض تبين ان الاستلام بفرع اخرع بعيد  وتمرالذهاب لخدمة العملاء لمساعدتي واخد المنتج من فرعهم ولم يتم حل المشكلة,ar,,Negative
توزيع ارقام الانتظار خلال العروض نظرا للعشوائية عند المحاسبة او تقديم الخدمة,ar,,Positive
ان يتولى المعرض متابعة الصيانة وخدمة ما بعد البيع,ar,,Positive
"I strongly recommend a general experience, not one, so good manners and dealing is the required soul, not just goods",en,,Positive
مزيد من التنظيم,ar,,Positive
لاتجد من يرد على استفساراتك وأخطاء الموظفين يتحملها العميل ومن الصعب وجود شخص في المعرض أو حتى على التلفون لحل الاشكالات .,ar,,Positive
للاسف اشتريت غسالة صحون ووصلت خربانه الما يخرج منها في ارضية المطبخ وكانت تجربة الاستبدال متعبة سواء في خدمة الاتصال او في خدمة الرد او في خدمة تحديد موعد حتى في خدمة من يقوم بتركيبها غير مؤهلين في شرح كيفية تشغيل الغسالةرعند الاستفسار يقول اقراء دليل الاستخدام ويبدوا انهم لا يعرفون كيفية تشغيل الجهاز,ar,,Negative
شكرا,ar,,Positive
تشغيل الدفع بال prepaid card من الموقع,ar,,Positive
الالتزام بمواعيد التوصيل,ar,,Positive
Am fully satisfied,en,,Positive
Good Maintenance,en,,Positive
The questionnaire and evaluation should be in Arabic.,en,,Neutral
App could be more user friendly,en,,Neutral
الاصدقاء,ar,,Positive
Easy tracking,en,,Positive
ناقصكم الرد السريع بالواتس ويعطيكم العافيه,ar,,Positive
لم يتم الاخذ بعين الاعتبار على الطلب,ar,,Negative
لا شي,ar,,Neutral
تجربة التوصيل كانت جيدة و,ar,,Positive
I am not satisfy with return policy of Extra. I will never do shopping from extra,en,,Negative
"طلبت شاشة و أبلغت الموظف في المحل بحوجتي لحامل جدار،، فوجئت بعامل التوصيل لك يكن معه حامل ما دفعني الذهاب بنفسي للسوق لشراء الحامل،، اتمنى مثل تلك الأشياء في سيارة التوصيل و تقديمها لمن أراد في حالة طلب العميل ذلك",ar,,Negative
ثقة في المنتجات من ثقتي في المكان,ar,,Positive
شكرا جزيلا,ar,,Positive
الردود صحيحه لكن ليتها سريعه,ar,,Neutral
يعطيكم العافيه السرعه بالمواعيد,ar,,Positive
كل شي ممتاز  وانا اشكر كل العاملين في الشركه  وموظفين التوصيل  انهم  في قمة الاخلاق  والتعامل الممتاز,ar,,Positive
أشكركم جزيل الشكر الله يعطيكم العافية وأخص الأستاذ أحمد إبراهيم محمد فرع الدايري الجنوبي,ar,,Positive
تردون على زباينكم مو طبيعي كل ماجيت بستفسر ماتردون,ar,,Positive
اشكر لمنو بي التوصيل اسامه ومحمود,ar,,Positive
تحديد موعد أقرب,ar,,Positive
اود من موظفي التوصيل الالتزام بما يطلبه صاحب البضاعة لا ان يفرض رأيه متعللا بخوفه من الكسر او اي اسباب تحول من تنفيذ الطلب,ar,,Negative
خبييت التعامل والتوصيل,ar,,Positive
كل شي ممتاز,ar,,Positive
ليشكاتبين التركيب مجانا في النهاية دفعت 50 ريال يقول حق لحام,ar,,Negative
لديكم عامل تركيب اسمه زيشان ومعه طاقم محترف فشكراً لكم ولهم,ar,,Positive
ازالات مبلغ التوصيل والتركيب المبالغ فيه,ar,,Negative
لا شي,ar,,Neutral
"اتمنى أن يكون فترة التوصيل أقصر ، فالمنافسين يوصلون في نفس اليوم أو اليوم التالي وشكرا لكم",ar,,Negative
عمال التوصيل تعاملهم سيء لابد من تطويرهم في التعامل,ar,,Neutral
افضل شركة توصيل👍🏻,ar,👍🏻,Positive
سرعة التوصيل انا إنتظرت اسبوع لوصول التكييف,ar,,Negative
ماشاءالله تبارك الله قمه في الاحترافية,ar,,Positive
التوصيل يجب أن يكون أكثر إحترافية,ar,,Neutral
لن اتعامل مره اخرى مع اكسترا نهائي ولا اوصي كذلك بالتعلمل معها,ar,,Negative
السرعه,ar,,Negative
عامل التوصيل ممتاز,ar,,Positive
Courier company is non professional.,en,,Negative
The delivery staff was so professional,en,,Positive
ايصاله  الى عنوان المنزل,ar,,Positive
التركيب سئ جدا ولا يعرفون شي في تشغيل المكيف ولاشي صراحه تركيب وبس,ar,,Neutral
"Nothing, not only me but also my colleagues suggested that services at extra are pethetic",en,,Negative
نشكر الفني هاني علي إخلاصه في العمل كان جدا رائع,ar,,Positive
"Reduce the prices,",en,,Negative
الصيانه مرررره تعيسه وخدماتها تحت الصفر للأسف عن تجارب مرت بي تعرضون خدمه صيانه لمده ٥ سنوات مادفع من,ar,,Negative
لا يوجد شي اقترحه ... ماشالله عليكم اسمكم سابقكم,ar,,Neutral
الاهتمام وتحديث منتجات فرع نجران,ar,,Positive
الغاء ضمان اكسترا الاضافي والاكتفاء بالضمان الاساسي,ar,,Positive
شكراً لكم,ar,,Positive
Thanks,en,,Positive
المصادقه في الضمان والافصاح فيه,ar,,Positive
عدم التلاعب بالاسعار ورفعها قبل الغروض ووضع خصومات غير جذابة ووهمية. توجد مواقع لصد قمية السلعة تاريخيا,ar,,Negative
وجود قدرة ضغط السيف,ar,,Positive
زياده نسبه الخصومات لعملاء جود,ar,,Positive
ان يكون خصم جود اكثر من ٢٪؜ قليل الخصم مقارنه بالشراء,ar,,Negative
I phone 16,fr,,Positive
المكيف الي شريته اول شي مركبوه زين ثاني شي مايشغل وندق عليكم ماتردون,ar,,Negative
خصصوا قروب للنقل والتوصيل متخصص ويعرف يتعامل مع الزبون والبضاعة المشتراه,ar,,Positive
فااااشلين و اول مره اجرب خدمتكم … زود على ان خدمتكم ماتغطي الا مساحة جغرافية صغييييره جدا وضيقه وحادينها في ابها + وبعد ماخذين ميه ريال بدون اي اي فايدة…الى الطريق المنحدر اكسترا (اكتبها وانا جداً مستى من الخدمة),ar,,Negative
إذا الزبون اشترى قطعتين او اكثر من نفس النوع على البائع افهام الزبون انه بالامكان استلام البضاعة في اكثر من مدينة,ar,,Negative
اهتمام الاداره بالعملاء والذي انعكس على الموظفين وخدمتهم المميزه,ar,,Positive
شكرا للاخ علي الموسوي على حسن تعامله وبرود اعصابه,ar,,Positive
"The number of staff in the store outnumbered the customers, which unfortunately led to a rather irritating experience. The helpers were so persistent that it was difficult to move around and look at the merchandise at one's own pace. They need to learn that customers prefer to browse independently and will seek help when needed, rather than being constantly followed.",en,,Negative
توفير استراحة لشرب القهوة بعد التجول في المعرض و التسوق,ar,,Positive
اتمنى ان يتم استبدال مختصين التوصيل بأشخاص ارقى في التعامل,ar,,Negative
العمل بجد,ar,,Positive
Customer service,en,,Positive
خدمة حلوة,ar,,Positive
بعض المنتجات غالية حتى وعليها تخفيض المحلات الأخرى ارخص بشيء بسيط,ar,,Negative
better customer service,en,,Neutral
تغير العمالة المصرية,ar,,Negative
نافسوا امازون بالسعر وسنصبح سعداء اكثر بالتعامل معكم,ar,,Negative
التعامل جيد وكذلك التسليم,ar,,Positive
شكرا,ar,,Positive
اللي يركبون مكيفات الشباك ما يعرفون يشتغلون للأسف,ar,,Positive
الحرص على الجهاز وعلى مكان التركيب والحذر في التركيب,ar,,Positive
شكر وتقدير على الدقة والالتزام,ar,,Positive
في يوم التوصيل نفسه تحديد وقت الزيارة بالضبط,ar,,Positive
Good,so,,Positive
ممتاز جدا وأكثر من رائع . لكن الصيانة توجد تجربتين لي سيئة مكيفات سببلت ومع غسالات حيث لم يتمكن فريق الصيانة من معرفة العطل واصلاحه وبعد اطلاع ادارتكم على التقييم الذي كتبته في الاستبيان المرسل انتظروا كم يوم واتصل احد موظفينكم يسأل عن السبب وبعد الشرح له وعد بحل المشكلة وارسال رقم واتس ارسل له ارقام المنتجات ولكنه لم يرسل شيء,ar,,Neutral
عدم جودة  الصيانة  غير محترفين,ar,,Negative
غالي والجوال لو عليه أرجعه,ar,,Negative
شكرا لمم,ar,,Positive
زرت المعرض وعجبتني العروض وكنت متردد في الشرا رحت البيت وطلبت وجتني بسرعه خلال يومين او ثلاث ايام بس استجابه بسرع,ar,,Negative
"لي تقريبا ٣ اسابيع مسوي طلب ارجاع السلم ، للاسف شركة ناقل لم تستلمه مني و تواصلون عدة مرات و لم يستلموه .",ar,,Negative
مدة التوصيل كانت طويلة لو كانت اسرع افضل,ar,,Negative
Offers and promotions monthly and putting customer points upon purchase,en,,Positive
زيادة تفاصيل وصور المنتجات في موقع اكسترا,ar,,Positive
Provide the contact number of installation team to ease installation schedule with costumers,en,,Positive
اعطاء عملاء اكسترا افضلية في خدمة العملاء,ar,,Positive
"Make stronger offers on other products, not just specific products",en,,Neutral
Make application with points and awards,en,,Positive
Supportive staff,it,,Positive
موظف الصيانه راقي في التعامل ومحترم,ar,,Positive
ربك الموفق,ar,,Negative
شكراً لكم,ar,,Positive
It took them 1 month and 5 days to repair although it mentions that after 1 month of not repaired I will receive a new item,en,,Negative
extra mega offer,en,,Positive
All the things good,en,,Positive
ممتازين أنا ي التعامل,ar,,Positive
Good,so,,Positive
Excellent experience,fr,,Positive
توفير منتجات اكثر تنوع,ar,,Positive
لا شي,ar,,Neutral
موظف الصيانه الفني حق ابل يحتاج فني اخر للمصداقيه,ar,,Positive
It's excellent service already. Thanks,en,,Positive
اقترح التوصيل السريع للمكيفات,ar,,Neutral
الاهتمام بالتواصل مع العميل لايضاح سبب عدم اصلاح الأعطال بالتفاصيل المقنعة,ar,,Negative
"الرجاء تعيين موظفين على دراية بالمنتجات الواقفين أمامها..ما شفت قلة خبرة في موظفين مثل موظفين اكسترا بالرغم من كبر المعارض وأكثرها...اشتريت منتج بعد أن سألت موظفين أو ثلاثة ولا يعلمون الفرق بين أصنافه..والآخر قال لي موظف بعض المعلومات اشتريته...و رجعت البيت لأفاجئ إن المنتج بحاجة إلي اشياء معينة لاستخدامه!! ولم يقل لي الموظف شيئا عن هذا فعدت الي المعرض وانا المنشغله جدا للاسترجاع،فيقول لي المعرض ما دام اتوصل الجهاز بالكهرباء فلا يمكن استرجاعه",ar,,Negative
"بينم لم يتم توضيح معنى البيع عن طريق الأقساط بكل شفافيه ، فقد تم خصم كامل مبلغ الشراء من البطاقه",ar,,Negative
"Good repair, technician good",en,,Positive
Qualified and professional laborers,en,,Positive
Less Promoter surveillance- let the consumers take a tour without being followed by the Sales Promoter,en,,Negative
شكرا خدمه ممتازه,ar,,Positive
AC fixing and maintenance and customer support shoud check and update..,en,,Negative
Easy and approachable agents,en,,Positive
Delivery guys was good but there was a little challenge for me only related to arabic language but managed using Google translation.,en,,Neutral
Nothing,en,,Neutral
أنا راضي تماما...جودة الصيانة وتعامل مهندسي وفنيي الصيانة ممتاز وراقي...شكرا لكم,ar,,Positive
تعامل المهندس محمد علي رائع وخبرته ومعرفته بالعمل ممتازة,ar,,Positive
اشكر الموظف دغريري على سماحته وتعاونه واحترافيته في العمل,ar,,Positive
شكرا اخونا ياسر غنيم علي حسن التعامل,ar,,Positive
ممتاز,ar,,Positive
Tentative time should not vary too much.,en,,Neutral
العروض وتخفيضات لازم تكون احسن,ar,,Positive
نشكر الاستاذ مروان الحربي علي حسن تعامله ونرجو الله تعالي ان يوفقه,ar,,Positive
أنا راض تماما عن تجربة التوصيل فلم أجد ما أضيفه وهو ما يعني دلالة واضحة عن الرضا وثقافة موظفيكم ...,ar,,Negative
لا شي,ar,,Neutral
تدقة في الوقة,ar,,Positive
شكرا لكم ولتعاملكم الممتاز,ar,,Positive
I love extra,sk,,Positive
I am happy as customer. Extra sales executive very friendly and helpful. Also very good service give from service  centre.,en,,Positive
ولا شي,ar,,Neutral
لا يوجد اقتراح لانو الخدمة ممتازه جدااا,ar,,Positive
المصداقيه,ar,,Positive
المعامله الحسنة,ar,,Positive
لو يكون تابي ٦ شهور 🙏🏻,ar,🙏🏻,Negative
بعض الموظفين في استقبال قسم الصيانه بحاجه الى تفعيل ثقافة السرعه والإنجاز في استلام وتسليم الطلبات بين العملاء,ar,,Positive
لايوجد اقتراح جدًا ممتازين,ar,,Neutral
شكرا لاداخواني السعوديين ومن معهم,ar,,Positive
الاهتمام والالتزام بالصيانة والخدمه ما بعد البيع,ar,,Positive
ممتازة التجربة,ar,,Positive
لا شيء,ar,,Neutral
تم عمل صيانه للجوال عدد 2 مره وللاسف نفس المشكله,ar,,Positive
Good luck Thank you Mr إسحاق,so,,Positive
"Nothing, because everything is good",en,,Negative
التعامل الطيب,ar,,Positive
Great work,en,,Positive
مشكور عزيزي أسحاق الجابري ع الاحترام أشكرا جزيل شكر,ar,,Positive
احب اشكر هيثم علي سلوكه ومساعدته ليا .. شكرا,ar,,Positive
اقترح عدم اخفاء بعض المنتجات من الكاشير و خاصة اجهزة الجوال المميزة و العروض,ar,,Neutral
شكرا,ar,,Positive
تشرفت بالتعامل معكم,ar,,Positive
التعامل بصدق مع العملاء,ar,,Positive
السلام عليكم حيث قدمت على تصليح جهاز ايباد بتامين لسنتين ولقد تفاجأت بأن الجهاز ليس لديه تامين وانا ادفع المبلغ بشكل شهري والتامين رفض التصليح ومدير العمليات بمتجر صحار اكسترا عاملني بسوء وباسلوب منرفز ورفض ايجاد اي حل وبالرغم انه خطا موظف ويتحمله المشتري والكستمر بان فاتوره الضمان لا تطابق النظام لديكم وهذا مدير العمليات ~Rechie Rizon وجهه لي كلمه اذهب واشتكي حيث شئت لم تحصل على مرادك وبالرغم هو من كتب لي معامله التامين بالرقم التسلسلي ولم يخبرني بأن الايباد بدون ضمان. وانا اطالبكم باسترجاع حقي بسبب خطا موظف,ar,,Negative
لا يوجد,ar,,Neutral
اقترح زيادة الخصومات وتمديد فترة الضمان,ar,,Neutral
🫤,emoji,🫤,Neutral
لا احد يشتري من اكسترا .. لان توصيلهم فيه مشاكل وكسور بالمنتج,ar,,Negative
مواصلة المستوى المتميز يعطيكم العافية,ar,,Positive
ليش مواعيد التركيب تكون بعيدة المدي,ar,,Negative
مش فاهم قصدك,ar,,Positive
تجرية التوصيل كانت سئة جدا جدا تاخير في الموعد عدم التجاوب افادة شركة الشحن  اني قمت بتغيير موقع التوصيل افادة غير صحيحة  شركة اكسترا افادت بااعادة المنتج ورد المبلغوصل بعد عناء طويل وفي وقت متاخر عن الحاجة اليه,ar,,Negative
كل شي ممتاز,ar,,Positive
منع موظف التوصيل الانشغال بالجوال منعًا باتًا لحصول الضرر من التأخير,ar,,Negative
الالتزام بزي موحد يزن لشركة اكسترا,ar,,Positive
كل شي ممتاز,ar,,Positive
التوقيت المتفق عليه,ar,,Neutral
"أن تكون الشركة أكثر مصداقية والتزاماً بدأً من إستلام الطلب حتى يتم التوصيل للعميل. لقد كانت تجربتي سيئة جدا، لم يتم توصيل طلبي إلا بعد التقدم بشكوى لوزارة التجارة.",ar,,Negative
يجي ارفاق فاتوره عند شراء النحاس او الفك والتركيب,ar,,Positive
اسواء خدمة تركيب والمكيف امس نزل مياه علي الشاشة و دمرها,ar,,Positive
السلام عليكم ورحمة الله وبركاته 👋🏼والله الجماعة الي جاو اخلاقهم عالية عملهم احترافي. دقة في الوقت نتمنى لكم ولهم التوفيق والنجاح. ونتمنى للقائمين على اكسترا التوفيق والنجاح 🥇🇸🇦🥇,ar,👋🏼🥇🥇,Positive
اتمنى التأكد من سلامت المنتج المباع,ar,,Negative
الدقه والسرعه في التوصيل,ar,,Positive
Thanks alot,en,,Positive
To stick to the time allocation,en,,Negative
ربما ارفاق صور اضافيه للمنتج,ar,,Negative
اتمنى زيادة الخصومات في كثير من. المنتجات,ar,,Positive
l,fr,,Positive
All went good,cy,,Positive
تحسين موقع التسوق الأليكترونى عبر الأنترنت وعرض المنتجات المتاحة بكل فرع غلى حدى,ar,,Positive
لا يتم الرد والتجاوب مع المشكله بالطريقه الصحيحه ابدا,ar,,Negative
عدم فرض رسوم,ar,,Negative
جميل,ar,,Positive
صدق العمال,ar,,Positive
Thank miss raida and ammer alaisri,et,,Positive
"My service fees return of SR. 200 is still pending. I have visited multiple times to the Rakah store, they keep on saying tomorrow and tomorrow.",en,,Negative
products to be available for all residence. I would like to purchase AC but staff informed me that offer is only for Saudi nationals which is not mentioned in Extra offers. The staff in AC section was not responsive and not even ready to explain properly,en,,Negative
Try to make more megha sales,en,,Negative
تصليح المكيفات المكان حار جداً,ar,,Neutral
أشكر الموظفين المعتز و السيد علي على حسن التعاون,ar,,Positive
الله يعطيكم العافية.شكرا,ar,,Positive
شكرا جزيلا,ar,,Positive
"التركيز في العمل، أعطاني قطعة بديلة غير القطعة اللي فيها مشكلة، تركيز صفر!!",ar,,Negative
شكراً جزيلاً على مجهودكم,ar,,Positive
دايما في نحاح,ar,,Positive
لايوجد,ar,,Neutral
الالتزام بضمان اكسترا المضاف على قيمة الأجهزة وعدم تلاعب موظفين الاستقبال وفنيين الصيانه,ar,,Positive
شكرا لكم,ar,,Positive
I am satisfied,sv,,Positive
كل شي ممتاز,ar,,Positive
Mr. Abdelrahman was quite supportive.,en,,Positive
المعرض به كل الصفات والاسباب الموضحة ف القائمة,ar,,Positive
Extra all products price is less quality is very good.,en,,Positive
Being logical. I placed an order from one of your branch ( it was an online order as the product was not available in the store). Next day I went back to return the order. I had not received the product till that time and I said please just cancel it I don't need the product. But the staff said that you can do it once the product is delivered and you bring it back to us,en,,Negative
شكرا لكم,ar,,Positive
تطبيق يسير اطلب قبل لا اوصل او على الاقل اعرف اش المنتجات المتوفرة,ar,,Negative
ع,ar,,Negative
زياده عروض,fa,,Positive
العروض على المنتجات,ar,,Positive
الاستمرار على نفس المستوى في العمل,ar,,Positive
الفنيين اللي يقومن بتوصيل الاشياء مثل غسالة الصحون اللي وصلوها لي غير ملمين بالجهاز اسألهم هذا ليش يقولون مانعرف هذا شلون مانعرف طريقة التشغيل مانعرف كيف صنفتهم فننين مدري هذي الشي الوحيد اللي لو يتم تعديله راح يصير اكسترا 100/100,ar,,Positive
الامور بخير لا تحتاج اقتراحات,ar,,Negative
استمرار التخفيضات,ar,,Positive
"وجود الاستاذ مبارك - فرع الشفا   يعدإضافة ممتازة للفرع خلوق ومتعاون جدًا قدم الخدمة بالصورة الكاملة ، التمسك بالموظف الممتاز تعد ميزة للنجاح",ar,,Positive
اقتراح. اذا ما رد العميل الصباح ممكن يرد بعد الظهر. لا تخلونها فقط الصباح,ar,,Negative
اقترح التوسع الى الاثاث والمطابخ ومنافسة ايكيا,ar,,Neutral
شكرا,ar,,Positive
خدمة فرع الصيانى فى فرع العارض ممتازة وناس محترمة جدا أتذكر اسم الموظف أشرف,ar,,Positive
شكرا,ar,,Positive
شكرا اكم ولحسن اداره هامل الصيانه,ar,,Positive
اباقه وسرعه الموظف باسم في تنفيذ الطلب 💐👌,ar,💐👌,Positive
شكرا لكم,ar,,Positive
خدمة سيئة و لا يقدرو على الحل و تقديم المطلوب,ar,,Positive
Nothing,en,,Neutral
More sale,ro,,Positive
The employee was excellent,en,,Positive
كل شي جميل,ar,,Positive
خدمة ممتازة,ar,,Positive
Good service and staff is good.,en,,Positive
عدم التواصل مده ٩ أيام ولا وضوح في وقت الإصلاح,ar,,Negative
Send an exact time delivery so if someone is out side or he have something outside he donot need to stay most of the day waiting for the delivery man,en,,Negative
"I would like to competent the service technicians and the staff who delivered & installed both my ac units . They were extremely professional , courteous and efficient .",en,,Positive
Thanks for good service,en,,Positive
فقط نود سرعه الرد,ar,,Negative
